LONGITUDE	LATITUDE	LABEL	ELEVATION	KML_FOLDER	open
"64ø 12' 35.3549"" W"	"31ø 27' 25.4851"" S"	Huliches y Oran		L31 ida	1
"64ø 12' 32.9585"" W"	"31ø 27' 19.7806"" S"	Oran y Paso de la Patria		L31 ida	
"64ø 12' 34.3681"" W"	"31ø 27' 15.6716"" S"	Villavicencio y Tartagal		L31 ida	1
"64ø 12' 33.0548"" W"	"31ø 27' 13.1568"" S"	Tartagal al 3800		L31 ida	1
"64ø 12' 30.0607"" W"	"31ø 27' 7.5975"" S"	Dr. Federico Padula al 3700		L31 ida	1
"64ø 12' 28.6800"" W"	"31ø 27' 2.9865"" S"	Dr. Federico Padula al 3600		L31 ida	1
"64ø 12' 26.7658"" W"	"31ø 26' 58.4180"" S"	Dr. Federico Padula al 3500		L31 ida	1
"64ø 12' 24.6692"" W"	"31ø 26' 52.3920"" S"	Dr. Federico Padula al 3400		L31 ida	1
"64ø 12' 24.0444"" W"	"31ø 26' 44.4417"" S"	Dr. Federico Padula al 3100		L31 ida	1
"64ø 12' 19.7121"" W"	"31ø 26' 42.5178"" S"	San Antonio al 700		L31 ida	1
"64ø 12' 26.0398"" W"	"31ø 26' 40.9440"" S"	Pedro de Mendoza al 2900		L31 ida	1
"64ø 12' 26.6828"" W"	"31ø 26' 35.0114"" S"	Pedro de Mendoza al 2800		L31 ida	1
"64ø 12' 21.0995"" W"	"31ø 26' 29.8435"" S"	Rodr¡guez de La Torre y Suecia		L31 ida	1
"64ø 12' 6.7942"" W"	"31ø 26' 31.9919"" S"	Av Naciones Unidas al 400		L31 ida	1
"64ø 11' 58.5408"" W"	"31ø 26' 33.5878"" S"	Av Naciones Unidas al 200		L31 ida	1
"64ø 11' 51.7206"" W"	"31ø 26' 28.9724"" S"	Frulli al 2400		L31 ida	
"64ø 11' 52.5952"" W"	"31ø 26' 23.5313"" S"	Ernesto Romagosa al 200		L31 ida	1
"64ø 11' 57.0845"" W"	"31ø 26' 22.3206"" S"	Ernesto Romagosa al 400		L31 ida	1
"64ø 11' 55.9384"" W"	"31ø 26' 17.2723"" S"	Santiago C ceres 2100		L31 ida	1
"64ø 11' 56.5974"" W"	"31ø 26' 12.7693"" S"	Alejandro Centeno y Ayacucho		L31 ida	1
"64ø 11' 43.8340"" W"	"31ø 25' 57.3060"" S"	Gral. Manuel Belgrano al 1500		L31 ida	1
"64ø 11' 41.5827"" W"	"31ø 25' 52.0409"" S"	Gral. Manuel Belgrano al 1400		L31 ida	1
"64ø 11' 39.6257"" W"	"31ø 25' 47.1310"" S"	Gral. Manuel Belgrano al 1200		L31 ida	1
"64ø 11' 35.5260"" W"	"31ø 25' 37.0376"" S"	Gral. Manuel Belgrano al 1000		L31 ida	1
"64ø 11' 32.2019"" W"	"31ø 25' 28.9707"" S"	Gral. Manuel Belgrano al 800		L31 ida	1
"64ø 11' 23.6055"" W"	"31ø 25' 12.9419"" S"	Gral. Manuel Belgrano al 400		L31 ida	1
"64ø 11' 18.8342"" W"	"31ø 24' 58.1342"" S"	Gral. Manuel Begrano al 100		L31 ida	
"64ø 11' 13.5231"" W"	"31ø 24' 46.0945"" S"	Gral. Manuel Belgrano y Av. Colon		L31 ida	
"64ø 11' 7.4504"" W"	"31ø 24' 47.0825"" S"	Av. Col¢n al 100		L31 ida	1
"64ø 10' 51.2036"" W"	"31ø 24' 51.9480"" S"	Av Emilio Olmos al 50		L31 ida	1
"64ø 10' 37.6335"" W"	"31ø 24' 56.0795"" S"	Av Emilio Olmos y Santiago del Estero		L31 ida	1
