stop_id,stop_lat,stop_lon,stop_calle,stop_esquina
8434,-31.39612559773548,-64.19016488400017,Rodriguez Peña 1558,Entre Bedoya Y Jeronimo Luis De Cabrera
8435,-31.39264756509686,-64.1887166219239,Rodriguez Peña 1886,Esq. Antonio Del Viso
8436,-31.37812830032382,-64.18348355737122,Vicente Espinel 700,Esq. Mariano Fragueiro
8437,-31.37460137154194,-64.18369662504115,Mariano Fragueiro 3442,Entre Chajan Y Alta Gracia
8438,-31.3731639625377,-64.18370276878262,Mariano Fragueiro 3656,Entre Anizacate Y Ascochinga
8439,-31.3523171515777,-64.18434079675063,Myor Arturo Luisoni 5678,Esq. Jorge Eduardo Newbery
7194,-31.35390063928361,-64.17569636914631,Av. Juan B. Justo 5400,Esq. Alfonsina Storni (Rot. Ingreso B° Liceo)
7195,-31.350772944975,-64.1760306949278,Av. Juan B. Justo 5650,Entre Constancio Vigil Y Eugenio Maria Hostos
7196,-31.34753190765954,-64.17599980386042,Av. Juan B. Justo 6000,Fte. Liceo Militar
7197,-31.34444709428545,-64.17605252841514,Av. Juan B. Justo 6350,Fte. Cordoba Rugby
7198,-31.34171066686499,-64.17598684424222,Av. Juan B. Justo 6598,Esq. El Chingolo
8440,-31.34042019244157,-64.1790454369749,Mercedes Moreno 340,Esq. Alicia M. Justo
8441,-31.33922280173026,-64.17971665984645,Alicia M. De Justo 6826,Esq. Baldwind
8442,-31.33654346799843,-64.17976503002276,Alicia M. De Justo 7000,Esq. Av. Japon
8443,-31.33625225963134,-64.17674602890439,Av Japon 5,Esq. Av. Juan B. Justo
7200,-31.3346151513971,-64.17559521623711,Av. Juan B. Justo 7260,Esq. Ana Riglos De Yrigoyen
7201,-31.3302387078777,-64.17561375073397,Av. Juan B. Justo 7700,Esq. Bernardino Lopez (Fte. Escuela)
7202,-31.32675363363941,-64.17564441112158,Av. Juan B. Justo 8000,Fte. Ingreso Villa Grande
7203,-31.32384975759942,-64.17563234678146,Av. Juan B. Justo 8250,Fte. Colegio
7204,-31.32105984869653,-64.1757143654797,Av. Juan B. Justo 8500,Esq. Bordi
7205,-31.31635162579694,-64.17576568911583,Av. Juan B. Justo 8864,Esq. Del Charango
7206,-31.31348933727821,-64.17576290295148,Av. Juan B. Justo 9262,Fte. Escuela Unesco
7207,-31.31142258176733,-64.17601295718731,Av. Juan B. Justo 9690,Esq. El Guardamonte (Plaza Guiñazu)
7208,-31.3091159714001,-64.17561570904243,Av. Juan B. Justo 9922,Esq. El Pegual.
8444,-31.30977702951567,-64.17750795797225,Del Chamame 9800,Esq. Del Cielito
8445,-31.31164949859488,-64.17811824313544,Del Chamame 9600,Esq.De Los Valsecitos
8446,-31.31110638165606,-64.17957500716147,De Los Valsecitos 600,Esq. Del Cielito
8447,-31.31035893507572,-64.18071335973171,De Los Valsecitos 400,Esq. Del Carnavalito
8448,-31.30926277116264,-64.18254695363245,De Los Valsecitos 200,Esq. De La Huella
