"stop_id","stop_calle","stop_esquina","stop_lon","stop_lat","coord"
7698,"COLECTORA S//N","ESQ. AV. RANCAGUA (FTE. HIPERMERCADO YAGUAR)",-64.1471536995,-31.3604997646,"-64.14712480366076,-31.35993352392376,0"
7699,"MARCO DEL PONT 3501","ESQ DOMINGO DE LA GANDARA",-64.1536587109,-31.3682898672,"-64.15432661052923,-31.36822466792622,0"
7700,"MARCO DEL PONT 3257","ESQ GAUDENCIO",-64.1544744592,-31.3705053585,"-64.15514076874825,-31.37044679652466,0"
7701,"MARCO DEL PONT 3000","ESQ SAN BENITO",-64.1551868753,-31.3720428683,"-64.15583149796927,-31.37234232214773,0"
7702,"SAN BENITO 1015 ","ESQ. SAN CELESTINO",-64.1570739032,-31.373300057,"-64.15750427896859,-31.37331916170889,0"
7703,"SAN BENITO 900","ESQ SANTA OLAYA",-64.1585604532,-31.3734295121,"-64.15952804456789,-31.37332589069418,0"
7704,"GUSTAVO MARAMBIO 918 ","ESQ SAN ANDRES",-64.1583317553,-31.3740957389,"-64.15909927050677,-31.37422153564146,0"
7705,"GUSTAVO MARAMBIO 1080","ESQ MARCO DEL PONT",-64.1573180787,-31.3743981432,"-64.15695796815396,-31.37477878292671,0"
7706,"MARCO DEL PONT 2613","ESQ CAPDEVILA",-64.157545921,-31.3761462652,"-64.15740223822891,-31.37682200124803,0"
7707,"AV. DR. ARTURO CAPDEVILA 1001","ESQ. CHIBAJA",-64.1587922471,-31.3763025599,"-64.15913931357839,-31.37647009401273,0"
7708,"AV. DR. ARTURO CAPDEVILA","FTE. COLOGIO BERNARDO HOUSSAY",-64.1620540678,-31.3766745515,"-64.16265341771614,-31.37658358821449,0"
7709,"REPUBLICA DE SIRIA 2085","ESQ CAPDEVILA",-64.1652126044,-31.3785844732,"-64.16585634197921,-31.37847001703204,0"
7710,"REPUBLICA DE SIRIA 2000","ESQ HULLUMAN",-64.1659107894,-31.3797945722,"-64.16639215631864,-31.37970954259206,0"
7711,"REPUBLICA DE SIRIA 1850","F. RECALDE",-64.1664191205,-31.3812827585,"-64.16712503408741,-31.38148236105829,0"
7712,"REPUBLICA DE SIRIA 1623 ","ESQ MARACAIBO",-64.1672798104,-31.3833215302,"-64.16801995942541,-31.38355352292471,0"
7713,"BEDOYA 026","FRENTE ESTACION GNC (PASANDO ESQUIU)",-64.175936307,-31.4013567135,"-64.17644680073799,-31.40112119363274,0"
7714,"BEDOYA  114","ESQ R. INDARTE",-64.1779749714,-31.4007541062,"-64.17845435658138,-31.40049973188154,0"
7715,"AV. ROQUE SAENZ PEÑA  1423","ESQ J. DEL CAMPILLO",-64.1812626132,-31.4002369768,"-64.18200918353696,-31.40048911300802,0"
7716,"JUJUY 22","ESQ  DEAN FUNES",-64.1893282711,-31.4140955222,"-64.19053983920311,-31.413832695746,0"
7717,"JUJUY 334","ESQ  LA  RIOJA",-64.1888950657,-31.4101992215,"-64.188998981692,-31.40974552020244,0"
7718,"BV. LAS HERAS ","FRENTE PILETA MUNICIPAL PQUE LAS HERAS",-64.186991779,-31.4057422224,"-64.18600573054677,-31.40544602615746,0"
7719,"AV. ROQUE SAENZ PEÑA ","ESQ  RIVADEO",-64.183507362,-31.403152304,"-64.18244833319049,-31.40374273268262,0"
7720,"RIVADEO 1206","ESQ  F. ALLENDE",-64.1830929725,-31.4022557007,"-64.18179019761212,-31.40218093254765,0"
7721,"RIVADEO 1490","ESQ  BEDOYA",-64.18221812,-31.4003828201,"-64.18087144659422,-31.39993540066273,0"
7722,"JERONIMO LUIS DE CABRERA 159","ESQ  R. INDARTE",-64.1794451545,-31.3993765375,"-64.17853651524044,-31.39933665458615,0"
7723,"JERONIMO LUIS DE CABRERA 031","ESQ JUAN B JUSTO",-64.1780636389,-31.3996662298,"-64.17665033517737,-31.39991605780586,0"
7724,"REPUBLICA DE SIRIA 1800","ESQ  PUERTO DE PALOS",-64.1672272355,-31.3819760388,"-64.16715694755217,-31.38180726134547,0"
7725,"REPUBLICA DE SIRIA 1956","ESQ  NUEVO MUNDO",-64.1662549751,-31.3803523829,"-64.16643850712272,-31.38009328916193,0"
7726,"REPUBLICA DE SIRIA 2082","ESQ CAPDEVILA",-64.165569122,-31.378652278,"-64.16569737281238,-31.37836827556882,0"
7727,"AV. DR. ARTURO CAPDEVILA 784","ESQ. OYAYTA",-64.1643751891,-31.3771022496,"-64.16295286066014,-31.37700899839235,0"
7728,"AV. DR. ARTURO CAPDEVILA","ESQ. CHIBAJA",-64.1609325791,-31.3765580584,"-64.15958342933344,-31.37666716852456,0"
7729,"AV. DR. ARTURO CAPDEVILA ","ESQ.   MARCO DEL  PONT",-64.1581085241,-31.3769465488,"-64.15769549774022,-31.37716296211579,0"
7730,"GUSTAVO MARAMBIO 1075","ESQ  SAN GUILLERMO",-64.1572790398,-31.3749164929,"-64.15698653470675,-31.37471693406267,0"
7731,"GUSTAVO MARAMBIO 911","ESQ  SAN ANDRES",-64.1590317988,-31.3743898691,"-64.15902306976901,-31.37417546514747,0"
7732,"SAN BENITO 900","ESQ SAN ANDRES",-64.1589757184,-31.3736967017,"-64.1592693154696,-31.37343561189872,0"
7733,"SAN BENITO 1020","ESQ. SAN CELESTINO",-64.1576139849,-31.3735346526,"-64.15782503030536,-31.3734278353032,0"
7734,"MARCO DEL PONT 3078","ESQ  GARRAMENDI",-64.1559916975,-31.3721616666,"-64.15566136122585,-31.37222492378674,0"
7735,"MARCO DEL PONT 3290","ESQ  SAN  FERNANDO",-64.1552178372,-31.3703265928,"-64.15489416634151,-31.37012731104668,0"
7736,"MARCO DEL PONT 3490","ESQ DOMINGO DE LA GANDARA",-64.15449415,-31.3686212147,"-64.15433066704465,-31.36855421123628,0"
7737,"MARCO DEL PONT 3650","ESQ PARRAVICINI",-64.1539821316,-31.3672267058,"-64.15366941355968,-31.36669530265096,0"
7738,"AV. RANCAGUA ","ESQ. COLECTORA (FTE. HIPERMERCADO YAGUAR)",-64.1472230591,-31.3604730531,"-64.14722371790381,-31.36000757186006,0"
7739,"COLECTORA S//N","FRENTE FABRICA DE GUANTES",-64.133624275,-31.362221978,"-64.13291476109197,-31.36219707443506,0"
7740,"PUBLICA ESQ PUBLICA","FRENTE IPEM",-64.1314641763,-31.3582381111,"-64.13142110980026,-31.35830354746647,0"
7741,"CALLE PUBLICA S/N","MANZANA  ""15"" CDAD. VILLA RETIRO (LINEA 54)",-64.1461026059,-31.3484337486,"-64.14697882295631,-31.34893620515905,0"
7742,"CALLE PUBLICA S/N"," FRENTE IPEM CUIDAD VILLA RETIRO (LINEA 54)",-64.1447201504,-31.3483788618,"-64.14376511645331,-31.34840292078444,0"
7743,"CALLE PUBLICA S/N","MANZANA ""12"" CDAD. VILLA RETIRO (LINEA 54)",-64.1450802592,-31.3475845708,"-64.14550787538003,-31.34758397164623,0"
7744,"AV. RANCAGUA 4700","FRENTE PUNTA DE LINEA",-64.1466518602,-31.3477875029,"-64.1474777850936,-31.34776847784443,0"
7745,"AV. JAPON 568 ","ESQ. RANCAGUA (ESC OLEGARIO VICTOR ANDRADE)",-64.1473004122,-31.3428614945,"-64.14782582989267,-31.34223437512635,0"
7746,"AV. RANCAGUA 4900",,-64.1473088246,-31.3455523458,"-64.14761273683003,-31.34530048609059,0"
7747,"GERMAN BERDIALES 1747","ESQ  GELLY Y OBES",-64.1481331055,-31.352270702,"-64.14846732029656,-31.35233378802054,0"
7748,"GERMAN BRDIALES 1637","ESQ  S. OVEJERO",-64.1498224676,-31.3524689782,"-64.15063972713826,-31.35234332056949,0"
7749,"JOSE LUIS ORREGO 4873","ESQ. ROLDAN (FRENTE  COLEGIO)",-64.1507324245,-31.3537409675,"-64.1518039577504,-31.35380414108386,0"
7750,"JOSE LUIS ORREGO 4715","ESQ  DARDO CUNEO",-64.151020664,-31.3558641145,"-64.15176685123231,-31.35644831307916,0"
7751,"JOSE LUIS ORREGO 4610","ESQ  ZORRILLA DE SAN MARTIN",-64.1510361356,-31.3581118937,"-64.15180602464385,-31.35801478177685,0"
7752,"BARTOLOME HIDALGO 1646","ESQ  FCO DEL PRADO",-64.1498873055,-31.3597786965,"-64.15027189861675,-31.35973136733578,0"
7753,"BARTOLOME HIDALGO 1708","ESQ  RANCAGUA",-64.1491847528,-31.3597753692,"-64.14839182330913,-31.35971706664932,0"
7754,"AV. RANCAGUA 3725","ESQ. AV. LENADRO N. ALEM",-64.1484983782,-31.3655236983,"-64.14778104498772,-31.36592081114526,0"
7755,"FRANCISCO DE ALARCON 1834","ESQ  GRANADERO TOVA",-64.1474543272,-31.3669037654,"-64.1474109743716,-31.36737795740835,0"
7756,"FRANCISCO DE ALARCON 2000","ESQ. DIAZ COLODRERO",-64.1449953864,-31.3669446334,"-64.14480740759392,-31.3673738762427,0"
7757,"FRANCISCO DE ALARCON 2144","ESQ  POSTORINO",-64.1429389693,-31.3672052808,"-64.14314226218598,-31.36735813585959,0"
7758,"GRAL. MANUEL DE ESCALADA  3689","ENTRE ALARCON Y VILLEGAS",-64.1419504025,-31.3676803407,"-64.14157538643913,-31.36758189769244,0"
7759,"MANUEL DE ESCALADA 3547","ESQ  CHORROARIN",-64.1416281801,-31.369413582,"-64.14155662337601,-31.3695009377866,0"
7760,"MANUEL DE ESCALADA 3385","ESQ  J. LAGUNA",-64.1414243581,-31.3720788661,"-64.1416221833706,-31.3720816551122,0"
7761,"MANUEL DE ESCALADA  3145","ESQ  J. MELLIAN",-64.1413225082,-31.373971952,"-64.14161921304518,-31.37412961791348,0"
7762,"MANUEL DE ESCALADA  2950","ESQ  LUIS VERNET",-64.1413452422,-31.3763244534,"-64.14162255442906,-31.37642469972515,0"
