stop_id,40.ida,40.reg,41.ida ,41.reg,42.ida,42.reg,43.ida,43.reg,44.ida,44.reg,50.ida,50.reg,51.ida,51.reg,52.ida,52.reg,53.ida,53.reg,54.ida,54.reg,55.ida,55.reg,d50.ida,d50.reg,500,501,600,601
7306,,,,,,,,X,,,,,,,,,,,X,X,,,X,,,,,
7307,,,,,,,,X,,,,,,,,,,,X,X,,,,,,,,
7308,,,,,,,,X,,,,,,,,,,,X,X,,,,,,,,
7309,,,,,,,,X,,,,,,,,,,,,,,,,,,,,
7310,,,,,,,,X,,,,,,,,,,,,,,,,,,X,,
7311,,,,,,,,X,,,,,,,,,,,,,,,,,,,,
7312,,,,,,,,X,,,,,,,,,,,,,,,,,,,,
7313,,,,,,,,X,,,,,,,,,,,,,,,,,,,,
7314,,,,,,,,X,,,,,,,,,,,,,,,,,,,,
7315,,,,,,,,X,,,,,,,,,,,,,,,,,,,,
7316,,,,,,,,X,,,,,,,,,,,,,,,,,,,,
7317,,,,,,,,X,,,,,,,,,,,,,,,,,,,,
7318,,,,,,,,X,,,,,,,,,,,,,,,,,,,,
7319,,,,,,,,X,,,,,,,,,,,,,,,,,,,,
7320,,,,,,,,X,,,,,,,,,,,,,,,,,,,,
7321,,,,,,,,X,,,,,,,,,,,,,,,,,,,,
7322,,,,,,,,X,,,,,,,,,,,,,,,,,,,,
7323,,,,,,,,X,X,,,,,,,,,,,,,,,,,,,
7324,,,,,,,,X,X,,,,,,,,,,,,,,,,,,,
7325,,,,,,,,X,,,,,,,,,,,,,,,,,,,,
7326,,,,,,,,X,,,,,,,,,,,,,,,,,,,,
7327,,,,,,,,X,,,,,,,,,,,,,,,,,,,,
7328,,,,,,,,X,,,,,,,,,,,,,,,,,,,,
7329,,,,,,,,X,,,,,,,,,,,,,,,,,,,,
7330,,,,,,,,X,,,,,,,,,,,,,,,,,,,,
7331,,,,,,,,,X,,X,,,,X,,,,,,,,X,,,,,
7332,,,,,,,,,X,,,,,,X,,,,,,,,,,,,,
7333,,,,,,,,,X,,,,,,X,,,,,,,,,,,,,
7334,,,,,,,,,X,,,,,,,,,,,,,,,,,,,
7335,,,,,,,,,X,,,,,,,,,,,,,,,,,,,
