"Code","stop_calle","stop_numero","stop_entre","lineas","stop_lat","stop_lon"
"C1858","Castro Barros",987,"Matias Zapiola y Gutierrez de Ceballos","10 Ida - 11 Reg - 12 Ida - 13 Ida - 14 Reg - 15 Reg - 17 Reg - 18 Reg - 19 Ida - D10 Ida - ",-31.39686,-64.19981
"C1863","Caraffa",2253,"Julian Paz y Juan Posse","10 Ida - 11 Reg - 12 Ida - 13 Ida - 14 Reg - 15 Reg - 17 Reg - 18 Reg - 19 Ida - D10 Ida - ",-31.388804,-64.209579
"C1868","Octavio Pinto",3285,"Javier Lopez y Sagrada Familia","10 Ida - 12 Ida - 13 Ida - 14 Reg - 18 Reg - 19 Ida - D10 Ida - ",-31.38318,-64.22251
"C1873","Rafael Nuñez",3964,"Juan Castagnino y Juan Battle Planas","10 Ida - 11 Reg - 12 Ida - 13 Ida - 15 Reg - 17 Reg - 18 Reg - 19 Ida - D10 Ida - ",-31.37224,-64.2298
"C1875","Rafael Nuñez",4250,"Del Campillo y Gigena","10 Ida - 11 Reg - 12 Ida - 13 Ida - 15 Reg - 17 Reg - 18 Reg - 19 Ida - D10 Ida - ",-31.36906,-64.23251
"C1879","Rafael Nuñez",4832,"Avila y Zarate y Barranca Yaco","10 Ida - 11 Reg - 12 Ida - 13 Ida - 15 Reg - 17 Reg - 18 Reg - 19 Ida - D10 Ida - ",-31.36024,-64.23848
"C1884","Rafael Nuñez",6330,"Santos Nuñez y Bracamonte","10 Ida - 11 Reg - 12 Ida - 15 Reg - 18 Reg - ",-31.34437,-64.25167
"C1885","Rafael Nuñez",6500,"Frente CPC","11 Reg - 12 Ida - 15 Reg - ",-31.34149,-64.25389
"C1889","Massetti",7964,"Fage y Bejanele","12 Ida - ",-31.33124,-64.26231
"C1890","Massetti",8068,"Bejanele y Cubillos","12 Ida - ",-31.32939,-64.26168
"C1891","Massetti",8194,"Cubillos y Risatti","12 Ida - ",-31.32829,-64.26113
"C1892","Massetti",8297,"Risatti y Chapisgasta","12 Ida - ",-31.32648,-64.26019
"C1893","Beta",7180,"Chapisgasta y Tabacue","12 Ida - ",-31.32555,-64.26023
"C1894","Beta",7438,"Artajoveitia y Miguel Marin","12 Ida - ",-31.32561,-64.26412
"C1895","Fangio",8500,"Beta y Malalco","12 Ida - ",-31.32453,-64.26625
"C1896","Malalco",7300,"Mancol y Matra","12 Ida - ",-31.3236,-64.26536
"C1897","Malalco",7200,"Llancaquen y Tabacue","12 Ida - ",-31.32259,-64.26339
"C1898","Malalco",7050,"Pe¤i y Pillahuenu","12 Ida - ",-31.32186,-64.26199
"C1899","Pizzolatto",7114,"Malalco y Giannini","12 Ida - ",-31.32126,-64.26012
"C1900","Pizzolatto",7000,"Giannini y Menditeguy","12 Ida - ",-31.32178,-64.25858
"C1901","Pizzolatto",6915,"Menditeguy y Ortega","12 Ida - ",-31.32231,-64.25704
"C1903","Revello",8814,"Marimon y Yaben","12 Ida - ",-31.32031,-64.25778
"C1904","Ornstein",8931,"Sin Datos y Ibarguren","12 Ida - ",-31.31934,-64.25918
"C1905","Borda",9999,"Final","12 Ida - ",-31.31765,-64.26033
"C1909","Mutual Policia",9999,"Esq. Cauque","17 Ida - ",-31.31392,-64.26182
"C1910","Cauque",9999,"Frente Manzana 81","17 Ida - ",-31.31279,-64.26025
"C1911","Cauque",9999,"Frente Manzana 104","17 Ida - ",-31.31231,-64.25933
"C1912","Publica Policial",9999,"Frente Manzana 104","17 Ida - ",-31.31329,-64.25827
"C1913","Publica Policial",9999,"Frente Manzana 105","17 Ida - ",-31.31489,-64.25721
"C1914","Publica Policial",9999,"Frente Manzana 246","17 Ida - ",-31.31413,-64.25527
"C1915","Publica Policial",9999,"Esq. Manzana 246","17 Ida - ",-31.3139,-64.25481
"C1916","Ibarguren",9999,"3 Cuadras antes de Peña","17 Ida - ",-31.3154,-64.25465
"C1917","Publica Policial",9999,"Frente Manzana 4","17 Ida - ",-31.31694,-64.25473
"C1918","Peña",9999,"Tomasini y Yaben","17 Ida - ",-31.31851,-64.25476
"C1919","Peña",9999,"Llegando a Marimon","17 Ida - ",-31.32017,-64.25362
"C1920","Marimon",6746,"Calviño y Manuel Bordeu","17 Ida - ",-31.32061,-64.25431
"C1922","Ortega",8650,"Esquina Pizzolatto","12 Reg - 14 Ida - 17 Ida - ",-31.32186,-64.25638
"C1923","Pizzolatto",6820,"Ortega y Sin Datos","17 Ida - ",-31.32285,-64.25559
"C1925","Calviño",8365,"Ernesto Bossola y Ovides","17 Ida - ",-31.32573,-64.25413
"C1930","Fermin Martin",7850,"Bejanele y Bejanele","14 Ida - 17 Ida - ",-31.3315,-64.2469
"C1939","Los Alemanes",5831,"Della Paolera y Lo Celso","14 Ida - 17 Ida - ",-31.34337,-64.24331
"C1941","Potel Junot",6751,"Elkin y Oddone","14 Ida - 17 Ida - ",-31.34525,-64.24202
"C1942","Potel Junot",6551,"Carlos Claro y Alfredo Voglino","14 Ida - 17 Ida - ",-31.34675,-64.24344
"C1943","Potel Junot",6459,"Carlos Aubone y Belisario Caraffa","17 Ida - ",-31.34784,-64.24446
"C1944","Potel Junot",6100,"Pje. Potel Junot y Rafael Nuñez","14 Ida - 17 Ida - ",-31.351,-64.24716
"C1949","Rafael Nuñez",4653,"Hugo Wast y Felix Garzon","10 Reg - 11 Ida - 12 Reg - 13 Reg - 15 Ida - 17 Ida - 18 Ida - 19 Reg - D10 Reg - ",-31.36305,-64.23708
"C1951","Rafael Nuñez",4481,"Reinafe y Gavier","17 Ida - ",-31.36715,-64.23431
"C1956","Rafael Nuñez",3828,"Berrotaran y Arruabarrena","11 Ida - 12 Reg - 13 Reg - 15 Ida - 17 Ida - 19 Reg - D10 Reg - ",-31.37483,-64.22772
"C1958","Rafael Nuñez",3567,"Jose Otero y Orma","10 Reg - 12 Reg - 15 Ida - 17 Ida - 18 Ida - ",-31.37825,-64.22472
"C1971","Castro Barros",617,"Brandsen y Chaco","10 Reg - 11 Ida - 12 Reg - 13 Reg - 14 Ida - 15 Ida - 17 Ida - 18 Ida - 19 Reg - D10 Reg - ",-31.39936,-64.19782
"C1978","Velez Sarsfield",254,"Caseros y Duarte Quiros","10 Reg - 11 Ida - 12 Reg - 17 Ida - ",-31.41766,-64.18775
