"stop_id","stop_name","stop_calle","stop_numero","stop_entre","stop_lat","stop_lon"
3214,"C3214","Alto Alegre",,"Cattaneo y Sgto. Gomez",-31.420713,-64.263729
3215,"C3215","Alto Alegre",,"Zuloaga y Bradley",-31.423573,-64.263863
3300,"C3300","Ricardo Rojas",7330,"Mocovies y Tomas Garzon",-31.335045,-64.265272
3301,"C3301","Ricardo Rojas",7900,"Huarpes y Udaondo",-31.334622,-64.272463
3302,"C3302","Ricardo Rojas",8200,"Pachamama y Yupanqui",-31.336005,-64.276538
3303,"C3303","Ricardo Rojas",8500,"Huacac y Huayna",-31.336902,-64.280714
3304,"C3304","Ricardo Rojas",8800,"Tahuantisuyo y Mamaquilla",-31.337344,-64.285186
3305,"C3305","Bodereau",,"Ricardo Rojas y Amigorena",-31.336202,-64.288082
3306,"C3306","Bodereau",,"Amigorena y Hanan Pacha",-31.333759,-64.288063
3307,"C3307","Bodereau",,"Leon XIII y Pozo de la Loma",-31.331716,-64.288066
3308,"C3308","Bodereau",,"Leon XIII y Pozo de la Loma",-31.329261,-64.288005
3309,"C3309","Bodereau",,"Agua de la Pilona y Mussi",-31.326657,-64.288573
3310,"C3310","Bodereau",,"Canteras de Quilpo y de los Gauchos",-31.323091,-64.288455
3311,"C3311","Bodereau",,"Quilloamira y Rincon de Luna",-31.319803,-64.288291
3312,"C3312","Bodereau",,"Cabral y Sacha",-31.316694,-64.288164
3313,"C3313","Bodereau",,"Macha y Cruz Alta",-31.313798,-64.288103
3314,"C3314","Cruz Alta",,"Corral de Bustos y Montebuey",-31.313265,-64.29118
3315,"C3315","Cruz Alta",,"Laborde y Arroyito",-31.313172,-64.294333
3316,"C3316","Cruz Alta",,"San Marcos Sierra y BelleVille",-31.313069,-64.297598
3317,"C3317","San Jeronimo",,"San Salvador y Jamaica",-31.314671,-64.300938
3318,"C3318","San Jeronimo",,"Esquina Avellaneda",-31.315243,-64.304277
3319,"C3319","San Lorenzo",,"Esq. Eva Peron",-31.315792,-64.3069
3350,"C3350","San Lorenzo",,"Esq. Eva Peron",-31.315792,-64.3069
3351,"C3351","San Jeronimo",,"Esquina Avellaneda",-31.315243,-64.304277
3352,"C3352","San Jeronimo",,"San Salvador y Jamaica",-31.314671,-64.300938
3353,"C3353","Cruz Alta",,"San Marcos Sierra y BelleVille",-31.313069,-64.297598
3354,"C3354","Cruz Alta",,"Laborde y Arroyito",-31.313172,-64.294333
3355,"C3355","Cruz Alta",,"Corral de Bustos y Montebuey",-31.313265,-64.29118
3356,"C3356","Bodereau",,"Macha y Cruz Alta",-31.313798,-64.288103
3357,"C3357","Bodereau",,"Cabral y Sacha",-31.316694,-64.288164
3358,"C3358","Bodereau",,"Quilloamira y Rincon de Luna",-31.319803,-64.288291
3359,"C3359","Bodereau",,"Canteras de Quilpo y de los Gauchos",-31.323091,-64.288455
3360,"C3360","Bodereau",,"Agua de la Pilona y Mussi",-31.326657,-64.288573
3361,"C3361","Bodereau",,"Leon XIII y Pozo de la Loma",-31.329261,-64.288005
3362,"C3362","Bodereau",,"Leon XIII y Pozo de la Loma",-31.331716,-64.288066
3363,"C3363","Bodereau",,"Amigorena y Hanan Pacha",-31.333759,-64.288063
3364,"C3364","Bodereau",,"Ricardo Rojas y Amigorena",-31.336202,-64.288082
3365,"C3365","Ricardo Rojas",8800,"Tahuantisuyo y Mamaquilla",-31.337344,-64.285186
3366,"C3366","Ricardo Rojas",8500,"Huacac y Huayna",-31.336902,-64.280714
3367,"C3367","Ricardo Rojas",8200,"Pachamama y Yupanqui",-31.336005,-64.276538
