route_id,start_time,headway_secs,end_time,service_id
71,22:30:00,1800,25:00:00,H
72,05:00:00,1020,06:00:00,H
72,06:00:00,780,08:30:00,H
72,08:30:00,1020,12:00:00,H
72,12:00:00,780,13:30:00,H
72,13:30:00,1020,18:30:00,H
72,18:30:00,780,21:30:00,H
72,21:30:00,1020,22:30:00,H
72,22:30:00,1800,25:00:00,H
73,05:00:00,1800,06:00:00,H
73,06:00:00,1200,08:30:00,H
73,08:30:00,1800,12:00:00,H
73,12:00:00,1200,13:30:00,H
73,13:30:00,1800,18:30:00,H
73,18:30:00,1200,21:30:00,H
73,21:30:00,1800,22:30:00,H
73,22:30:00,1800,25:00:00,H
74,05:00:00,1200,06:00:00,H
74,06:00:00,840,08:30:00,H
74,08:30:00,1200,12:00:00,H
74,12:00:00,840,13:30:00,H
74,13:30:00,1200,18:30:00,H
74,18:30:00,840,21:30:00,H
74,21:30:00,1200,22:30:00,H
74,22:30:00,1800,25:00:00,H
75,05:00:00,1020,06:00:00,H
75,06:00:00,780,08:30:00,H
75,08:30:00,1020,12:00:00,H
75,12:00:00,780,13:30:00,H
75,13:30:00,1020,18:30:00,H
75,18:30:00,780,21:30:00,H
75,21:30:00,1020,22:30:00,H
75,22:30:00,1800,25:00:00,H
80,01:00:00,3600,05:00:00,H
80,05:00:00,720,06:00:00,H
80,06:00:00,480,08:30:00,H
80,08:30:00,720,12:00:00,H
80,12:00:00,480,13:30:00,H
80,13:30:00,720,18:30:00,H
80,18:30:00,480,21:30:00,H
80,21:30:00,720,22:30:00,H
80,22:30:00,1200,25:00:00,H
81,05:00:00,900,06:00:00,H
81,06:00:00,540,08:30:00,H
81,08:30:00,900,12:00:00,H
81,12:00:00,540,13:30:00,H
81,13:30:00,900,18:30:00,H
81,18:30:00,540,21:30:00,H
81,21:30:00,900,22:30:00,H
81,22:30:00,1200,25:00:00,H
82,01:00:00,3600,05:00:00,H
82,05:00:00,1200,06:00:00,H
82,06:00:00,900,08:30:00,H
82,08:30:00,1200,12:00:00,H
82,12:00:00,900,13:30:00,H
82,13:30:00,1200,18:30:00,H
82,18:30:00,900,21:30:00,H
82,21:30:00,1200,22:30:00,H
82,22:30:00,1800,25:00:00,H
83,05:00:00,1500,06:00:00,H
83,06:00:00,900,08:30:00,H
83,08:30:00,1500,12:00:00,H
83,12:00:00,900,13:30:00,H
83,13:30:00,1500,18:30:00,H
83,18:30:00,900,21:30:00,H
83,21:30:00,1500,22:30:00,H
83,22:30:00,2700,25:00:00,H
84,05:00:00,1020,06:00:00,H
84,06:00:00,720,08:30:00,H
84,08:30:00,1020,12:00:00,H
84,12:00:00,720,13:30:00,H
84,13:30:00,1020,18:30:00,H
84,18:30:00,720,21:30:00,H
84,21:30:00,1020,22:30:00,H
84,22:30:00,1800,25:00:00,H
b20,05:00:00,1800,06:00:00,H
b20,06:00:00,1200,08:30:00,H
b20,08:30:00,1800,12:00:00,H
b20,12:00:00,1200,13:30:00,H
b20,13:30:00,1800,18:30:00,H
b20,18:30:00,1200,21:30:00,H
b20,21:30:00,1800,22:30:00,H
b30,05:00:00,1200,06:00:00,H
b30,06:00:00,1200,08:30:00,H
b30,08:30:00,1200,12:00:00,H
b30,12:00:00,1200,13:30:00,H
b30,13:30:00,1200,18:30:00,H
