stop_id,stop_calle,stop_numero,stop_frente,stop_esquina,stop_entre_a,stop_entre_b,stop_lat,stop_lon
4069,Manuel Gutierrez,4833,,Grandi,Enrique Borla,Mario Grandi,-31.356387050154,-64.22782449174528
5018,San Jerónimo,4716,4716,,Samaniego,Soto,-31.424647998881,-64.12500159390721
4892,Publica villa Angelelli,,,,Publica villa Angelelli,Publica villa Angelelli,-31.50443878115827,-64.19402624756788
4453,Santiago Baravino,4981,,,Calle 4,Betinotti,-31.35622747723444,-64.21241116554117
4452,Santiago Baravino,4886,,,Orozco ,Mujica Lainez,-31.35762904683136,-64.21270627476788
4451,Santiago Baravino,4790,,,Publica ,Azor Grimaut,-31.35862734902221,-64.21285108373293
4450,Santiago Baravino,4691,,,Cayol,Manuel Carles,-31.36033244063936,-64.213182199063
4457,Diego Díaz,708,,,Suarez Mejias,Tristan Tejeda,-31.35844655721925,-64.19591667720522
4456,Miguel de Mojica,1589,,,Rodriguez de Ruescas,Suarez Mejias,-31.35742082906663,-64.1940087739222
4454,Miguel de Mojica,1148,,,Gaspar de Qeuvedo,Rodriguez de Ruescas,-31.35737588089247,-64.18988227785914
4459,Diego Díaz,502,,,Alonso de Ubeda,Diego de Vera,-31.36091482348775,-64.19928960972081
4458,Diego Díaz,610,,,Tristan Tejeda,Alonso de Ubeda,-31.35976427439886,-64.19771386497206
4923,Cno San Carlos,5990,,,,,-31.48648979119404,-64.16886126571079
4922,Cno San Carlos,5635,,,,,-31.4825885104117,-64.16884590006462
4921,Cno San Carlos,5800,,Madre Sacramento,,,-31.48066816391243,-64.16886012399421
4920,Cno San Carlos,5525,,,,,-31.47756660809895,-64.16885274202309
4927,Cno San Carlos,6650,,,,,-31.49337994242904,-64.16884910948987
4926,Cno San Carlos,6488,,,,,-31.49153232183182,-64.16884433905093
4925,Cno San Carlos,6364,,,,,-31.49023721277168,-64.16888291576149
4924,Cno San Carlos,6160,,,,,-31.48796761905994,-64.16887251902962
4699,Belardinelli,3102,,,Javier Díaz,Becar Varela,-31.44715362089214,-64.19422937714384
4698,Belardinelli,2985,,Javier Díaz,Cruz Roja Argentina,Javier Díaz,-31.44568557043514,-64.19399890899751
4929,Cno San Carlos,7000,,,,,-31.49878340336969,-64.1689053676174
4928,Cno San Carlos,6850,,Callejón Cuatrini,,,-31.4940831235245,-64.16888561969344
5160,Juncadillo,713,,,Yunyen,Igualdad,-31.38647505334784,-64.24869423033202
5161,Figueroa,650,,,Lavalle,Tablada,-31.38864358174821,-64.2476626635792
5162,Figueroa,483,,,Humberto 1ro,Rioja,-31.38982632045827,-64.2482188066014
5163,Figueroa,307,,,Rioja,Santa Rosa,-31.3911568420077,-64.24885910517052
5164,Figueroa,212,,,Del Signo,Cumpeo,-31.39231391975503,-64.24943115152686
5165,Rosillo,40,,,Dean Funes,27 de Abril,-31.39534177060036,-64.25090825754059
5166,Colón,1080,,Salecianos,Mendoza,Rodriguez Peña,-31.40955983432272,-64.19748801836626
5167,Colón,12,,,Rivera Indarte,San Martín,-31.41373211156625,-64.18326357848403
5168,Irigoyen,1317,,,Entre Rios,San Jeronimo,-31.42307120481448,-64.15547564089019
5169,Irigoyen,1076,,,Lopez y Planes,Argandoña,-31.41973689699663,-64.15504790704398
4589,Colombres,1007,,,Obispo Clara,Obispo Ceballos,-31.37593419546487,-64.19722323118512
4588,Colombres,1205,,,Videla Castillo,Galan,-31.37594712332871,-64.19926673473411
4859,Cno. San Carlos,,,Canal Maestro,,,-31.51868469630973,-64.16893208953601
4858,Cno. San Carlos,9700,,,,,-31.52306983741382,-64.16861555189209
